@@	1100	Hangul Jamo	11FF
11F5	HANGUL JONGSEONG HIEUH-NIEUN
11F6	HANGUL JONGSEONG HIEUH-RIEUL
11F7	HANGUL JONGSEONG HIEUH-MIEUM
11F8	HANGUL JONGSEONG HIEUH-PIEUP
11F9	HANGUL JONGSEONG YEORINHIEUH
11FA	HANGUL JONGSEONG KIYEOK-NIEUN
11FB	HANGUL JONGSEONG KIYEOK-PIEUP
11FC	HANGUL JONGSEONG KIYEOK-CHIEUCH
11FD	HANGUL JONGSEONG KIYEOK-KHIEUKH
11FE	HANGUL JONGSEONG KIYEOK-HIEUH
11FF	HANGUL JONGSEONG SSANGNIEUN
@@	A960	Hangul Jamo Extended-A	A97F
@		Old initial consonants
A960	HANGUL CHOSEONG TIKEUT-MIEUM
A961	HANGUL CHOSEONG TIKEUT-PIEUP
A962	HANGUL CHOSEONG TIKEUT-SIOS
A963	HANGUL CHOSEONG TIKEUT-CIEUC
A964	HANGUL CHOSEONG RIEUL-KIYEOK
A965	HANGUL CHOSEONG RIEUL-SSANGKIYEOK
A966	HANGUL CHOSEONG RIEUL-TIKEUT
A967	HANGUL CHOSEONG RIEUL-SSANGTIKEUT
A968	HANGUL CHOSEONG RIEUL-MIEUM
A969	HANGUL CHOSEONG RIEUL-PIEUP
A96A	HANGUL CHOSEONG RIEUL-SSANGPIEUP
A96B	HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP
A96C	HANGUL CHOSEONG RIEUL-SIOS
A96D	HANGUL CHOSEONG RIEUL-CIEUC
A96E	HANGUL CHOSEONG RIEUL-KHIEUKH
A96F	HANGUL CHOSEONG MIEUM-KIYEOK
A970	HANGUL CHOSEONG MIEUM-TIKEUT
A971	HANGUL CHOSEONG MIEUM-SIOS
A972	HANGUL CHOSEONG PIEUP-SIOS-THIEUTH
A973	HANGUL CHOSEONG PIEUP-KHIEUKH
A974	HANGUL CHOSEONG PIEUP-HIEUH
A975	HANGUL CHOSEONG SSANGSIOS-PIEUP
A976	HANGUL CHOSEONG IEUNG-RIEUL
A977	HANGUL CHOSEONG IEUNG-HIEUH
A978	HANGUL CHOSEONG SSANGCIEUC-HIEUH
A979	HANGUL CHOSEONG SSANGTHIEUTH
A97A	HANGUL CHOSEONG PHIEUPH-HIEUH
A97B	HANGUL CHOSEONG HIEUH-SIOS
A97C	HANGUL CHOSEONG SSANGYEORINHIEUH
@@	D7B0	Hangul Jamo Extended-B	D7FF
@		Old medial vowels
D7B0	HANGUL JUNGSEONG O-YEO
D7B1	HANGUL JUNGSEONG O-O-I
D7B2	HANGUL JUNGSEONG YO-A
D7B3	HANGUL JUNGSEONG YO-AE
D7B4	HANGUL JUNGSEONG YO-EO
D7B5	HANGUL JUNGSEONG U-YEO
D7B6	HANGUL JUNGSEONG U-I-I
D7B7	HANGUL JUNGSEONG YU-AE
D7B8	HANGUL JUNGSEONG YU-O
